comb08,comb08U,combE,displ,drive,fuelType,fuelType1,id,make,model,VClass,year,atvType,evMotor,createdOn,modifiedOn
116,115.974,29,,Front-Wheel Drive,Electricity,Electricity,34392,Fiat,500e,Minicompact Cars,2014,EV,82 kW ACIPM,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016
107,106.9856,32,,Rear-Wheel Drive,Electricity,Electricity,34393,smart,fortwo electric drive convertible,Two Seaters,2014,EV,55 kW DCPM,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016
107,106.9856,32,,Rear-Wheel Drive,Electricity,Electricity,34394,smart,fortwo electric drive coupe,Two Seaters,2014,EV,55 kW DCPM,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016
76,76.169,44,,Front-Wheel Drive,Electricity,Electricity,34425,Toyota,RAV4 EV,Small Sport Utility Vehicle 2WD,2014,EV,115 kW AC Induction,Tue Jan 01 00:00:00 EST 2013,Mon Sep 26 00:00:00 EDT 2016
114,113.7879,30,,Front-Wheel Drive,Electricity,Electricity,34699,Nissan,Leaf,Midsize Cars,2014,EV,80 kW DCPM,Wed Jan 22 00:00:00 EST 2014,Mon Sep 26 00:00:00 EDT 2016
89,88.8,38,,Rear-Wheel Drive,Electricity,Electricity,34775,Tesla,Model S (85 kW-hr battery pack),Large Cars,2014,EV,270 kW AC Induction (85 kW-hr battery pack),Mon Mar 10 00:00:00 EDT 2014,Mon Sep 26 00:00:00 EDT 2016
95,95.4,35,,Rear-Wheel Drive,Electricity,Electricity,34776,Tesla,Model S (60 kW-hr battery pack),Large Cars,2014,EV,225 kW AC Induction (60 kW-hr battery pack),Mon Mar 10 00:00:00 EDT 2014,Mon Sep 26 00:00:00 EDT 2016
63,62.9357,54,,Front-Wheel Drive,Electricity,Electricity,34859,BYD,e6,Small Sport Utility Vehicle 2WD,2014,EV,75 kW AC PMSM,Wed Apr 16 00:00:00 EDT 2014,Mon Sep 26 00:00:00 EDT 2016
63,62.9357,54,,Front-Wheel Drive,Electricity,Electricity,34860,BYD,e6,Small Sport Utility Vehicle 2WD,2013,EV,75 kW AC PMSM,Wed Apr 16 00:00:00 EDT 2014,Mon Sep 26 00:00:00 EDT 2016
112,112.2077,30,,Rear-Wheel Drive,Electricity,Electricity,34901,Mitsubishi,i-MiEV,Subcompact Cars,2014,EV,49 kW DCPM,Mon May 05 00:00:00 EDT 2014,Mon Sep 26 00:00:00 EDT 2016
114,113.7816,29.6225,,Front-Wheel Drive,Electricity,Electricity,34918,Nissan,Leaf,Midsize Cars,2015,EV,80 kW DCPM,Wed May 14 00:00:00 EDT 2014,Mon Sep 26 00:00:00 EDT 2016
119,118.9,28.3449,,Front-Wheel Drive,Electricity,Electricity,35120,Chevrolet,Spark EV,Subcompact Cars,2015,EV,104 kW ACPM,Mon Jun 16 00:00:00 EDT 2014,Mon Sep 26 00:00:00 EDT 2016
116,115.974,29.1733,,Front-Wheel Drive,Electricity,Electricity,35206,Fiat,500e,Minicompact Cars,2015,EV,82 kW AC Induction,Thu Jun 26 00:00:00 EDT 2014,Mon Sep 26 00:00:00 EDT 2016
124,124.3601,27,,Rear-Wheel Drive,Electricity,Electricity,35207,BMW,i3 BEV,Subcompact Cars,2014,EV,125 kW AC Induction,Fri Jun 27 00:00:00 EDT 2014,Mon Sep 26 00:00:00 EDT 2016
84,83.7634,40,,Front-Wheel Drive,Electricity,Electricity,35247,Mercedes-Benz,B-Class Electric Drive,Midsize Cars,2014,EV,132 kW AC Induction,Mon Jul 07 00:00:00 EDT 2014,Mon Sep 26 00:00:00 EDT 2016
105,105.3754,31.9856,,Front-Wheel Drive,Electricity,Electricity,35601,Kia,Soul Electric,Small Station Wagons,2015,EV,81 kW AC PMSM,Wed Aug 27 00:00:00 EDT 2014,Mon Sep 26 00:00:00 EDT 2016
116,115.5536,29.1683,,Front-Wheel Drive,Electricity,Electricity,35849,Volkswagen,e-Golf,Compact Cars,2015,EV,85 kW AC PMSM,Thu Oct 16 00:00:00 EDT 2014,Mon Sep 26 00:00:00 EDT 2016
107,106.9856,31.5042,,Rear-Wheel Drive,Electricity,Electricity,35858,smart,fortwo electric drive convertible,Two Seaters,2015,EV,55 kW DCPM,Thu Oct 16 00:00:00 EDT 2014,Mon Sep 26 00:00:00 EDT 2016
107,106.9856,31.5042,,Rear-Wheel Drive,Electricity,Electricity,35859,smart,fortwo electric drive coupe,Two Seaters,2015,EV,55 kW DCPM,Thu Oct 16 00:00:00 EDT 2014,Mon Sep 26 00:00:00 EDT 2016
84,83.7887,40,,Front-Wheel Drive,Electricity,Electricity,35960,Mercedes-Benz,B-Class Electric Drive,Midsize Cars,2015,EV,132 kW AC Induction,Wed Dec 17 00:00:00 EST 2014,Mon Sep 26 00:00:00 EDT 2016
105,104.7718,32,,Front-Wheel Drive,Electricity,Electricity,35970,Ford,Focus Electric,Compact Cars,2015,EV,107 kW AC PMSM,Thu Dec 18 00:00:00 EST 2014,Mon Sep 26 00:00:00 EDT 2016
89,88.8,38,,Rear-Wheel Drive,Electricity,Electricity,35980,Tesla,Model S (85 kW-hr battery pack),Large Cars,2015,EV,270 kW AC Induction (85 kW-hr battery pack),Tue Jan 06 00:00:00 EST 2015,Mon Sep 26 00:00:00 EDT 2016
89,89.3,38,,4-Wheel Drive,Electricity,Electricity,35994,Tesla,Model S AWD (85 kW-hr battery pack),Large Cars,2014,EV,180 and 350 kW AC Induction (85 kW-hr battery pack),Mon Jan 12 00:00:00 EST 2015,Mon Sep 26 00:00:00 EDT 2016
93,92.9112,36,,All-Wheel Drive,Electricity,Electricity,36008,Tesla,Model S AWD - P85D,Large Cars,2015,EV,164 (front) 350 (rear) (85 kW-hr battery pack),Thu Jan 22 00:00:00 EST 2015,Mon Sep 26 00:00:00 EDT 2016
100,99.8433,34,,All-Wheel Drive,Electricity,Electricity,36009,Tesla,Model S AWD - 85D,Large Cars,2015,EV,140 (front) 140 (rear) (85 kW-hr battery pack),Thu Jan 22 00:00:00 EST 2015,Mon Sep 26 00:00:00 EDT 2016
124,124.3601,27,,Rear-Wheel Drive,Electricity,Electricity,36016,BMW,i3 BEV,Subcompact Cars,2015,EV,125 kW AC Induction,Tue Jan 27 00:00:00 EST 2015,Mon Sep 26 00:00:00 EDT 2016
95,95.4404,35,,Rear-Wheel Drive,Electricity,Electricity,36017,Tesla,Model S (60 kW-hr battery pack),Large Cars,2015,EV,225 kW AC Induction (60 kW-hr battery pack),Tue Jan 27 00:00:00 EST 2015,Mon Sep 26 00:00:00 EDT 2016
112,112.2077,30,0,Rear-Wheel Drive,Electricity,Electricity,36023,Mitsubishi,i-MiEV,Subcompact Cars,2016,EV,49 kW DCPM,Fri Feb 06 00:00:00 EST 2015,Mon Sep 26 00:00:00 EDT 2016
101,101.2486,33,,All-Wheel Drive,Electricity,Electricity,36126,Tesla,Model S AWD - 70D,Large Cars,2015,EV,140 (front) 140 (rear) (70 kW-hr battery pack),Mon Apr 06 00:00:00 EDT 2015,Mon Sep 26 00:00:00 EDT 2016
105,105.3754,31.9856,,Front-Wheel Drive,Electricity,Electricity,36553,Kia,Soul Electric,Small Station Wagons,2016,EV,81 kW AC PMSM,Tue Jul 14 00:00:00 EDT 2015,Mon Sep 26 00:00:00 EDT 2016
100,99.8433,34,,All-Wheel Drive,Electricity,Electricity,36786,Tesla,Model S AWD - 90D,Large Cars,2015,EV,140 (front) 140 (rear) (90 kW-hr battery pack),Thu Aug 06 00:00:00 EDT 2015,Mon Sep 26 00:00:00 EDT 2016
93,92.9112,36,,All-Wheel Drive,Electricity,Electricity,36787,Tesla,Model S AWD - P90D,Large Cars,2015,EV,164 (front) 350 (rear) (90 kW-hr battery pack),Thu Aug 06 00:00:00 EDT 2015,Mon Sep 26 00:00:00 EDT 2016
116,115.521,29.1765,,Front-Wheel Drive,Electricity,Electricity,36834,Volkswagen,e-Golf,Compact Cars,2016,EV,85 kW AC PMSM,Tue Aug 18 00:00:00 EDT 2015,Mon Sep 26 00:00:00 EDT 2016
107,106.9856,31.5042,,Rear-Wheel Drive,Electricity,Electricity,36860,smart,fortwo electric drive convertible,Two Seaters,2016,EV,55 kW DCPM,Wed Aug 26 00:00:00 EDT 2015,Mon Sep 26 00:00:00 EDT 2016
107,106.9856,31.5042,,Rear-Wheel Drive,Electricity,Electricity,36861,smart,fortwo electric drive coupe,Two Seaters,2016,EV,55 kW DCPM,Wed Aug 26 00:00:00 EDT 2015,Mon Sep 26 00:00:00 EDT 2016
105,104.7718,32,,Front-Wheel Drive,Electricity,Electricity,36978,Ford,Focus Electric,Compact Cars,2016,EV,107 kW AC PMSM,Fri Sep 25 00:00:00 EDT 2015,Fri Dec 16 00:00:00 EST 2016
92,92.084,37,,All-Wheel Drive,Electricity,Electricity,36979,Tesla,Model X AWD - 90D,Standard Sport Utility Vehicle 4WD,2016,EV,193 (front) 193 (rear) (90 kW-hr battery pack),Fri Sep 25 00:00:00 EDT 2015,Mon Sep 26 00:00:00 EDT 2016
89,89.1811,38,,All-Wheel Drive,Electricity,Electricity,36980,Tesla,Model X AWD - P90D,Standard Sport Utility Vehicle 4WD,2016,EV,193 (front) 375 (rear) (90 kW-hr battery pack),Fri Sep 25 00:00:00 EDT 2015,Mon Sep 26 00:00:00 EDT 2016
119,118.9,28.3449,,Front-Wheel Drive,Electricity,Electricity,36996,Chevrolet,Spark EV,Subcompact Cars,2016,EV,105 kW ACPM,Fri Oct 02 00:00:00 EDT 2015,Mon Sep 26 00:00:00 EDT 2016
84,83.7887,40.2262,,Front-Wheel Drive,Electricity,Electricity,36997,Mercedes-Benz,B250e,Midsize Cars,2016,EV,132 kW AC Induction,Fri Oct 02 00:00:00 EDT 2015,Mon Sep 26 00:00:00 EDT 2016
114,113.6836,29.6496,,Front-Wheel Drive,Electricity,Electricity,37066,Nissan,Leaf (24 kW-hr battery pack),Midsize Cars,2016,EV,80 kW DCPM,Mon Oct 19 00:00:00 EDT 2015,Mon Sep 26 00:00:00 EDT 2016
112,112.4312,29.9829,,Front-Wheel Drive,Electricity,Electricity,37067,Nissan,Leaf (30 kW-hr battery pack),Midsize Cars,2016,EV,80 kW DCPM,Mon Oct 19 00:00:00 EDT 2015,Mon Sep 26 00:00:00 EDT 2016
112,112.4374,29.9767,,Front-Wheel Drive,Electricity,Electricity,37156,Fiat,500e,Minicompact Cars,2016,EV,82 kW AC Induction,Wed Dec 02 00:00:00 EST 2015,Mon Sep 26 00:00:00 EDT 2016
124,124.3601,27,,Rear-Wheel Drive,Electricity,Electricity,37216,BMW,i3 BEV,Subcompact Cars,2016,EV,125 kW AC Induction,Tue Jan 05 00:00:00 EST 2016,Mon Sep 26 00:00:00 EDT 2016
89,88.8676,38,,Rear-Wheel Drive,Electricity,Electricity,37233,Tesla,Model S (70 kW-hr battery pack),Large Cars,2016,EV,285 kW AC Induction (70 kW-hr battery pack),Thu Jan 21 00:00:00 EST 2016,Mon Sep 26 00:00:00 EDT 2016
89,88.8,38,,Rear-Wheel Drive,Electricity,Electricity,37234,Tesla,Model S (85 kW-hr battery pack),Large Cars,2016,EV,285 kW AC Induction (85 kW-hr battery pack),Thu Jan 21 00:00:00 EST 2016,Mon Sep 26 00:00:00 EDT 2016
89,88.8876,38,,Rear-Wheel Drive,Electricity,Electricity,37235,Tesla,Model S (90 kW-hr battery pack),Large Cars,2016,EV,285 kW AC Induction (90 kW-hr battery pack),Thu Jan 21 00:00:00 EST 2016,Mon Sep 26 00:00:00 EDT 2016
89,88.8876,38,,Rear-Wheel Drive,Electricity,Electricity,37236,Tesla,Model S (90 kW-hr battery pack),Large Cars,2015,EV,285 kW AC Induction (90 kW-hr battery pack),Thu Jan 21 00:00:00 EST 2016,Mon Sep 26 00:00:00 EDT 2016
101,101.2486,33,,All-Wheel Drive,Electricity,Electricity,37238,Tesla,Model S AWD - 70D,Large Cars,2016,EV,193 (front) 193 (rear) (70 kW-hr battery pack),Thu Jan 28 00:00:00 EST 2016,Mon Sep 26 00:00:00 EDT 2016
100,99.8433,34,,All-Wheel Drive,Electricity,Electricity,37239,Tesla,Model S AWD - 85D,Large Cars,2016,EV,193 (front) 193 (rear) (85 kW-hr battery pack),Thu Jan 28 00:00:00 EST 2016,Mon Sep 26 00:00:00 EDT 2016
103,103.3087,33,,All-Wheel Drive,Electricity,Electricity,37240,Tesla,Model S AWD - 90D,Large Cars,2016,EV,193 (front) 193 (rear) (90 kW-hr battery pack),Thu Jan 28 00:00:00 EST 2016,Mon Sep 26 00:00:00 EDT 2016
93,92.9112,36,,All-Wheel Drive,Electricity,Electricity,37241,Tesla,Model S AWD - P85D,Large Cars,2016,EV,193 (front) 375 (rear) (85 kW-hr battery pack),Thu Jan 28 00:00:00 EST 2016,Mon Sep 26 00:00:00 EDT 2016
95,94.9536,35,,All-Wheel Drive,Electricity,Electricity,37242,Tesla,Model S AWD - P90D,Large Cars,2016,EV,193 (front) 375 (rear) (90 kW-hr battery pack),Thu Jan 28 00:00:00 EST 2016,Mon Sep 26 00:00:00 EDT 2016
112,111.6914,30,,Rear-Wheel Drive,Electricity,Electricity,37293,Mitsubishi,i-MiEV,Subcompact Cars,2017,EV,49 kW DCPM,Wed Mar 02 00:00:00 EST 2016,Wed Jul 05 00:00:00 EDT 2017
98,98.409,34,,Rear-Wheel Drive,Electricity,Electricity,37421,Tesla,Model S (75 kW-hr battery pack),Large Cars,2016,EV,285 kW AC Induction (75 kW-hr battery pack),Wed May 04 00:00:00 EDT 2016,Mon Sep 26 00:00:00 EDT 2016
103,103.3343,33,,All-Wheel Drive,Electricity,Electricity,37422,Tesla,Model S AWD - 75D,Large Cars,2016,EV,193 (front) 193 (rear) (75 kW-hr battery pack),Wed May 04 00:00:00 EDT 2016,Mon Sep 26 00:00:00 EDT 2016
93,93.0305,36,,All-Wheel Drive,Electricity,Electricity,37423,Tesla,Model X AWD - 75D,Standard Sport Utility Vehicle 4WD,2016,EV,193 (front) 193 (rear) (75 kW-hr battery pack),Wed May 04 00:00:00 EDT 2016,Mon Sep 26 00:00:00 EDT 2016
112,112.4374,29.9767,,Front-Wheel Drive,Electricity,Electricity,37798,Fiat,500e,Minicompact Cars,2017,EV,82 kW AC Induction,Wed Jul 20 00:00:00 EDT 2016,Wed Jul 05 00:00:00 EDT 2017
72,72.2873,47,,Front-Wheel Drive,Electricity,Electricity,37800,BYD,e6,Small Sport Utility Vehicle 2WD,2016,EV,75 kW AC PM/B,Wed Jul 20 00:00:00 EDT 2016,Mon Feb 12 00:00:00 EST 2018
124,124.3601,27,,Rear-Wheel Drive,Electricity,Electricity,38000,BMW,i3 BEV (60  Amp-hour battery),Subcompact Cars,2017,EV,125 kW AC Induction,Wed Aug 10 00:00:00 EDT 2016,Thu Sep 21 00:00:00 EDT 2017
118,117.7049,29,,Rear-Wheel Drive,Electricity,Electricity,38001,BMW,i3 BEV (94 Amp-hour battery),Subcompact Cars,2017,EV,125 kW AC Induction,Wed Aug 10 00:00:00 EDT 2016,Thu Sep 21 00:00:00 EDT 2017
84,83.7887,40.2262,,Front-Wheel Drive,Electricity,Electricity,38002,Mercedes-Benz,B250e,Midsize Cars,2017,EV,132 kW AC Induction,Wed Aug 10 00:00:00 EDT 2016,Wed Jul 05 00:00:00 EDT 2017
